epoch,loss
2.8,0.2563
2.8,0.4485
2.8,0.3918
2.8,0.2479
2.81,0.3609
2.81,0.3384
2.81,0.4769
2.81,0.3328
2.82,0.4189
2.82,0.3566
2.82,0.4065
2.83,0.2661
2.83,0.2599
2.83,0.3154
2.83,0.2529
2.84,0.3653
2.84,0.4804
2.84,0.381
2.84,0.373
2.85,0.307
2.85,0.3059
2.85,0.2451
2.85,0.2599
2.86,0.3712
2.86,0.2695
2.86,0.3407
2.86,0.3515
2.87,0.2736
2.87,0.3573
2.87,0.2976
2.88,0.2595
2.88,0.2798
2.88,0.4399
2.88,0.3617
2.89,0.3831
2.89,0.3871
2.89,0.3035
2.89,0.2724
2.9,0.2673
2.9,0.3617
2.9,0.408
2.9,0.3644
2.91,0.225
2.91,0.3938
2.91,0.3387
2.91,0.3493
2.92,0.2922
2.92,0.4262
2.92,0.2318
2.93,0.3874
2.93,0.3491
2.93,0.289
2.93,0.2558
2.94,0.3018
2.94,0.3799
2.94,0.3516
2.94,0.3539
2.95,0.3114
2.95,0.3452
2.95,0.2931
2.95,0.368
2.96,0.3841
2.96,0.3659
2.96,0.4015
2.96,0.4283
2.97,0.3079
2.97,0.3822
2.97,0.4605
2.98,0.2375
2.98,0.3577
2.98,0.3146
2.98,0.2751
2.99,0.2534
2.99,0.307
2.99,0.2579
2.99,0.3163
3.0,0.3093
3.0,0.3607
3.0,0.2995
3.0,0.179
3.01,0.302
3.01,0.2284
3.01,0.2896
3.01,0.2762
3.02,0.3323
3.02,0.3889
3.02,0.2419
3.03,0.2333
3.03,0.3407
3.03,0.3237
3.03,0.383
3.04,0.3477
3.04,0.1534
3.04,0.2756
3.04,0.4225
3.05,0.3626
3.05,0.3237
3.05,0.3289
3.05,0.3428
3.06,0.2994
3.06,0.3415
3.06,0.392
3.06,0.2638
3.07,0.292
3.07,0.3791
3.07,0.2997
3.08,0.2599
3.08,0.3117
3.08,0.4289
3.08,0.2408
3.09,0.3807
3.09,0.3032
3.09,0.3614
3.09,0.25
3.1,0.3559
3.1,0.4014
3.1,0.3185
3.1,0.3961
3.11,0.1529
3.11,0.2739
3.11,0.3594
3.11,0.2962
3.12,0.3678
3.12,0.2765
3.12,0.2844
3.13,0.298
3.13,0.3428
3.13,0.318
3.13,0.2945
3.14,0.2389
3.14,0.2143
3.14,0.2894
3.14,0.3049
3.15,0.3764
3.15,0.3021
3.15,0.4064
3.15,0.3079
3.16,0.3378
3.16,0.3195
3.16,0.3154
3.16,0.252
3.17,0.3485
3.17,0.4796
3.17,0.3518
3.18,0.3847
3.18,0.3262
3.18,0.2782
3.18,0.3278
3.19,0.3394
3.19,0.3009
3.19,0.292
3.19,0.4105
3.2,0.2706
3.2,0.2825
3.2,0.3437
3.2,0.5589
3.21,0.3479
3.21,0.2987
3.21,0.3684
3.21,0.3064
3.22,0.3323
3.22,0.2975
3.22,0.3101
3.23,0.2346
3.23,0.3562
3.23,0.2313
3.23,0.2691
3.24,0.3998
3.24,0.3128
3.24,0.378
3.24,0.3463
3.25,0.2892
3.25,0.2997
3.25,0.2887
3.25,0.3198
3.26,0.2565
3.26,0.2202
3.26,0.2226
3.26,0.2122
3.27,0.2564
3.27,0.2411
3.27,0.433
3.28,0.357
3.28,0.3026
3.28,0.2716
3.28,0.3941
3.29,0.2308
3.29,0.2651
3.29,0.2002
3.29,0.2256
3.3,0.2437
3.3,0.3113
3.3,0.2161
3.3,0.3064
3.31,0.2422
3.31,0.2452
3.31,0.3596
3.31,0.3178
3.32,0.2759
3.32,0.2759
3.32,0.2859
3.33,0.3308
3.33,0.2205
3.33,0.2099
3.33,0.2836
3.34,0.2321
3.34,0.3506
3.34,0.2989
3.34,0.3604
3.35,0.2536
3.35,0.2503
3.35,0.3456
3.35,0.3371
3.36,0.3411
3.36,0.3469
3.36,0.2337
3.36,0.3098
3.37,0.3617
3.37,0.2848
3.37,0.2693
3.38,0.3393
3.38,0.3117
3.38,0.3076
3.38,0.3508
3.39,0.2406
3.39,0.2574
3.39,0.3386
3.39,0.2482
3.4,0.2781
3.4,0.2687
3.4,0.3956
3.4,0.2515
3.41,0.3116
3.41,0.2753
3.41,0.319
3.41,0.367
3.42,0.3346
3.42,0.1557
3.42,0.3075
3.43,0.2545
3.43,0.3236
3.43,0.2729
3.43,0.4232
3.44,0.1857
3.44,0.2872
3.44,0.2893
3.44,0.2938
3.45,0.277
3.45,0.2369
3.45,0.2248
3.45,0.2279
3.46,0.2682
3.46,0.3588
3.46,0.3155
3.46,0.3151
3.47,0.3604
3.47,0.3261
3.47,0.2731
3.48,0.3205
3.48,0.3715
3.48,0.2989
3.48,0.275
3.49,0.4734
3.49,0.3983
3.49,0.2928
3.49,0.2476
3.5,0.411
3.5,0.2338
3.5,0.3005
3.5,0.3987
3.51,0.3089
3.51,0.2978
3.51,0.2814
3.52,0.3449
3.52,0.2193
3.52,0.2449
3.52,0.2501
3.53,0.2561
3.53,0.2634
3.53,0.3201
3.53,0.2636
3.54,0.3763
3.54,0.294
3.54,0.3306
3.54,0.4034
3.55,0.3183
3.55,0.4927
3.55,0.2993
3.55,0.2605
3.56,0.2994
3.56,0.3416
3.56,0.2927
3.57,0.4605
3.57,0.3712
3.57,0.3363
3.57,0.3835
3.58,0.4337
3.58,0.4066
3.58,0.2659
3.58,0.3984
3.59,0.3605
3.59,0.3118
3.59,0.3338
3.59,0.3794
3.6,0.4263
3.6,0.3982
3.6,0.2601
3.6,0.3461
3.61,0.3454
3.61,0.2555
3.61,0.389
3.62,0.3239
3.62,0.2173
3.62,0.2415
3.62,0.2284
3.63,0.4093
3.63,0.3531
3.63,0.2552
3.63,0.2806
3.64,0.2806
3.64,0.2636
3.64,0.2882
3.64,0.2821
3.65,0.2326
3.65,0.3578
3.65,0.3782
3.65,0.3049
3.66,0.3114
3.66,0.26
3.66,0.3199
3.67,0.3093
3.67,0.2948
3.67,0.3146
3.67,0.296
3.68,0.2923
3.68,0.4142
3.68,0.2681
3.68,0.2863
3.69,0.3833
3.69,0.2804
3.69,0.228
3.69,0.4821
3.7,0.2539
3.7,0.3104
3.7,0.2429
3.7,0.2098
3.71,0.4986
3.71,0.3817
3.71,0.3287
3.72,0.2885
3.72,0.3232
3.72,0.1952
3.72,0.2975
3.73,0.21
3.73,0.1962
3.73,0.2682
3.73,0.2538
3.74,0.3364
3.74,0.2094
3.74,0.2533
3.74,0.2983
3.75,0.3864
3.75,0.2743
3.75,0.2828
3.75,0.2786
3.76,0.3352
3.76,0.2061
3.76,0.3359
3.77,0.378
3.77,0.3391
3.77,0.2821
3.77,0.3239
3.78,0.2954
3.78,0.3824
3.78,0.5621
3.78,0.4048
3.79,0.4211
3.79,0.2929
3.79,0.3015
3.79,0.2979
3.8,0.4506
3.8,0.3608
3.8,0.3857
3.8,0.2349
3.81,0.2766
3.81,0.2841
3.81,0.2635
3.82,0.2975
3.82,0.1899
3.82,0.3719
3.82,0.2203
3.83,0.2719
3.83,0.2747
3.83,0.2925
3.83,0.3185
3.84,0.3221
3.84,0.4138
3.84,0.2517
3.84,0.2801
3.85,0.4153
3.85,0.2241
3.85,0.3366
3.85,0.2335
3.86,0.27
3.86,0.3211
3.86,0.3718
3.87,0.3193
3.87,0.3352
3.87,0.2714
3.87,0.3117
3.88,0.3489
3.88,0.2661
3.88,0.3415
3.88,0.3058
3.89,0.326
3.89,0.2362
3.89,0.3407
3.89,0.3223
3.9,0.3278
3.9,0.2661
3.9,0.2474
3.9,0.2586
3.91,0.2822
3.91,0.2508
3.91,0.2869
3.92,0.2729
3.92,0.3328
3.92,0.2919
3.92,0.3342
3.93,0.3316
3.93,0.3235
3.93,0.3855
3.93,0.2852
3.94,0.2216
3.94,0.2188
3.94,0.2015
3.94,0.235
3.95,0.2995
3.95,0.2249
3.95,0.2921
3.95,0.257
3.96,0.3453
3.96,0.3341
3.96,0.2777
3.97,0.2825
3.97,0.4489
3.97,0.2447
3.97,0.1657
3.98,0.3434
3.98,0.2524
3.98,0.415
3.98,0.3192
3.99,0.2927
3.99,0.254
3.99,0.2799
3.99,0.2662
4.0,0.3023
4.0,0.3634
4.0,0.3111
4.0,0.2741
4.01,0.2737
4.01,0.2752
4.01,0.2829
4.02,0.3306
4.02,0.2668
4.02,0.2726
4.02,0.3136
4.03,0.4215
4.03,0.2464
4.03,0.2599
4.03,0.2728
4.04,0.2159
4.04,0.2116
4.04,0.3087
4.04,0.308
4.05,0.3487
4.05,0.2977
4.05,0.3092
4.05,0.2707
4.06,0.2837
4.06,0.2451
4.06,0.3033
4.07,0.3008
4.07,0.2503
4.07,0.3079
4.07,0.3659
4.08,0.2367
4.08,0.3169
4.08,0.277
4.08,0.3237
4.09,0.254
4.09,0.3734
4.09,0.3243
4.09,0.3566
4.1,0.216
4.1,0.2474
4.1,0.1696
4.1,0.2107
4.11,0.2861
